"check","brand","model","type","currentLength","currentDiameter","amazonSearchUrl","note"
"","Caran d'Ache","849 Ballpoint","ボールペン","128","9","https://www.amazon.co.jp/s?k=Caran%20d'Ache%20849%20Ballpoint%20%E5%85%A8%E9%95%B7",""
"","Cross","Ion","ボールペン","90","13","https://www.amazon.co.jp/s?k=Cross%20Ion%20%E5%85%A8%E9%95%B7",""
"","Fisher","Bullet Space Pen","ボールペン","95.8","9.7","https://www.amazon.co.jp/s?k=Fisher%20Bullet%20Space%20Pen%20%E5%85%A8%E9%95%B7",""
"","Kaweco","Classic Sport","万年筆","105","13","https://www.amazon.co.jp/s?k=Kaweco%20Classic%20Sport%20%E5%85%A8%E9%95%B7",""
"","Kaweco","Liliput","万年筆","97","10","https://www.amazon.co.jp/s?k=Kaweco%20Liliput%20%E5%85%A8%E9%95%B7",""
"","Kaweco","Liliput Ballpoint","ボールペン","97","10","https://www.amazon.co.jp/s?k=Kaweco%20Liliput%20Ballpoint%20%E5%85%A8%E9%95%B7",""
"","Kaweco","Sport Ballpoint","ボールペン","105","13","https://www.amazon.co.jp/s?k=Kaweco%20Sport%20Ballpoint%20%E5%85%A8%E9%95%B7",""
"","Kaweco","Supra","万年筆","100","12","https://www.amazon.co.jp/s?k=Kaweco%20Supra%20%E5%85%A8%E9%95%B7",""
"","Lamy","CP1 (Compact version)","万年筆","125","9.5","https://www.amazon.co.jp/s?k=Lamy%20CP1%20(Compact%20version)%20%E5%85%A8%E9%95%B7",""
"","Lamy","Pico","ボールペン","93","12.1","https://www.amazon.co.jp/s?k=Lamy%20Pico%20%E5%85%A8%E9%95%B7",""
"","Lamy","Scribble","ボールペン","120","13","https://www.amazon.co.jp/s?k=Lamy%20Scribble%20%E5%85%A8%E9%95%B7",""
"","Lamy","Tipo","ボールペン","128","11","https://www.amazon.co.jp/s?k=Lamy%20Tipo%20%E5%85%A8%E9%95%B7",""
"","Mitsubishi Uni","Jetstream Stylus","ボールペン","125","11","https://www.amazon.co.jp/s?k=Mitsubishi%20Uni%20Jetstream%20Stylus%20%E5%85%A8%E9%95%B7",""
"","Montblanc","Heritage Rouge et Noir Baby","万年筆","99","11.8","https://www.amazon.co.jp/s?k=Montblanc%20Heritage%20Rouge%20et%20Noir%20Baby%20%E5%85%A8%E9%95%B7",""
"","Montblanc","Mozart 114","万年筆","113","11","https://www.amazon.co.jp/s?k=Montblanc%20Mozart%20114%20%E5%85%A8%E9%95%B7",""
"","Ohto","Minimo","ボールペン","91","3.7","https://www.amazon.co.jp/s?k=Ohto%20Minimo%20%E5%85%A8%E9%95%B7",""
"","Ohto","Petit-B","ボールペン","79","6","https://www.amazon.co.jp/s?k=Ohto%20Petit-B%20%E5%85%A8%E9%95%B7",""
"","Ohto","Pieni","ボールペン","124.5","7.9","https://www.amazon.co.jp/s?k=Ohto%20Pieni%20%E5%85%A8%E9%95%B7",""
"","Ohto","Rook","ボールペン","103","11","https://www.amazon.co.jp/s?k=Ohto%20Rook%20%E5%85%A8%E9%95%B7",""
"","Ohto","Tasche","万年筆","99","9.8","https://www.amazon.co.jp/s?k=Ohto%20Tasche%20%E5%85%A8%E9%95%B7",""
"","Opus 88","Fantasia","万年筆","115","14","https://www.amazon.co.jp/s?k=Opus%2088%20Fantasia%20%E5%85%A8%E9%95%B7",""
"","Opus 88","Mini Pocket","万年筆","118","15","https://www.amazon.co.jp/s?k=Opus%2088%20Mini%20Pocket%20%E5%85%A8%E9%95%B7",""
"","Parker","Jotter","ボールペン","128","10","https://www.amazon.co.jp/s?k=Parker%20Jotter%20%E5%85%A8%E9%95%B7",""
"","Pelikan","M300","万年筆","110","11","https://www.amazon.co.jp/s?k=Pelikan%20M300%20%E5%85%A8%E9%95%B7",""
"","Penco","Perfection Bullet","ボールペン","93","13","https://www.amazon.co.jp/s?k=Penco%20Perfection%20Bullet%20%E5%85%A8%E9%95%B7",""
